scheme_code,scheme_name,fund_house,date,nav,fetched_at
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,01-07-2026,108.68950,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,30-06-2026,108.00880,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,29-06-2026,107.78040,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,25-06-2026,108.37580,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,24-06-2026,108.29440,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,23-06-2026,107.54210,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,22-06-2026,108.46810,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,19-06-2026,107.96360,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,18-06-2026,108.00810,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,17-06-2026,107.53480,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,16-06-2026,107.01400,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,15-06-2026,106.59770,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,12-06-2026,105.21240,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,11-06-2026,102.88080,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,10-06-2026,103.18730,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,09-06-2026,103.52590,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,08-06-2026,102.48450,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,05-06-2026,103.81020,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,04-06-2026,103.64210,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,03-06-2026,103.48090,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,02-06-2026,103.59590,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,01-06-2026,103.09480,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,31-05-2026,104.30830,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,29-05-2026,104.31290,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,27-05-2026,105.92960,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,26-05-2026,105.51150,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,25-05-2026,105.92170,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,22-05-2026,104.77080,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,21-05-2026,104.49150,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,20-05-2026,104.60460,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,19-05-2026,104.27670,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,18-05-2026,104.15560,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,15-05-2026,104.29180,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,14-05-2026,104.55310,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,13-05-2026,103.39600,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,12-05-2026,103.33840,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,11-05-2026,105.60660,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,08-05-2026,107.15000,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,07-05-2026,107.67290,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,06-05-2026,107.33540,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,05-05-2026,105.83870,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,04-05-2026,105.74490,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,30-04-2026,105.28450,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,29-04-2026,106.06980,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,28-04-2026,105.62120,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,27-04-2026,106.05280,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,24-04-2026,105.09280,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,23-04-2026,106.13010,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,22-04-2026,106.82990,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,21-04-2026,107.24340,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,20-04-2026,106.20630,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,17-04-2026,105.98260,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,16-04-2026,105.11700,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,15-04-2026,104.92590,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,13-04-2026,103.23030,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,10-04-2026,104.13480,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,09-04-2026,102.54940,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,08-04-2026,103.28330,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,07-04-2026,99.38760,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,06-04-2026,98.80140,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,02-04-2026,97.52000,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,01-04-2026,97.71840,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,31-03-2026,96.27530,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,30-03-2026,96.27680,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,27-03-2026,98.67390,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,25-03-2026,100.73190,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,24-03-2026,98.65970,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,23-03-2026,96.71300,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,20-03-2026,99.61420,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,19-03-2026,99.15970,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,18-03-2026,102.45920,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,17-03-2026,101.24960,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,16-03-2026,100.39600,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,13-03-2026,99.71110,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,12-03-2026,101.97180,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,11-03-2026,102.97760,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,10-03-2026,104.75930,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,09-03-2026,103.38820,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,06-03-2026,105.40500,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,05-03-2026,106.72970,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,04-03-2026,105.49280,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,02-03-2026,107.52310,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,28-02-2026,108.93250,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,27-02-2026,108.93450,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,26-02-2026,110.29450,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,25-02-2026,109.92930,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,24-02-2026,109.36810,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,23-02-2026,110.29100,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,20-02-2026,109.52730,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,19-02-2026,109.00910,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,18-02-2026,110.63030,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,17-02-2026,110.08060,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,16-02-2026,109.84440,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,13-02-2026,109.34090,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,12-02-2026,110.53650,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,11-02-2026,110.83920,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,10-02-2026,110.65190,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,09-02-2026,110.38450,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,06-02-2026,109.17560,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,05-02-2026,109.01370,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,04-02-2026,109.28800,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,03-02-2026,109.09550,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,02-02-2026,106.15960,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,31-01-2026,107.18970,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,30-01-2026,107.19180,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,29-01-2026,107.17590,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,28-01-2026,107.02960,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,27-01-2026,105.94500,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,23-01-2026,105.71710,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,22-01-2026,106.87140,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,21-01-2026,106.07310,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,20-01-2026,106.50560,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,19-01-2026,108.36170,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,16-01-2026,108.64460,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,14-01-2026,108.50480,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,13-01-2026,108.84250,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,12-01-2026,108.89310,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,09-01-2026,108.84980,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,08-01-2026,110.05730,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,07-01-2026,111.31060,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,06-01-2026,111.24920,2026-07-02 10:55:52
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,05-01-2026,111.18020,2026-07-02 10:55:52
